Fecha,Departamento,Categoria,Producto,Unidad,Unidades,Precio_Unitario,Total_Venta
2016-01-01,Arequipa,Nutricion,phyta value,kg,96,115.16,11055.36
2016-01-01,Arequipa,Nutricion,ingaprot,kg,103,40.28,4148.84
2016-01-01,Arequipa,Nutricion,inmunoprot,kg,103,22.68,2336.04
2016-01-01,Arequipa,Nutricion,fitamix,kg,91,43.84,3989.4400000000005
2016-01-01,Arequipa,Sanidad,norax s plus,kg,94,76.15,7158.1
2016-01-01,Arequipa,Sanidad,tiamuvic,kg,94,38.13,3584.2200000000003
2016-01-01,Arequipa,Sanidad,florfevic,kg,94,79.29,7453.26
2016-01-01,Arequipa,Sanidad,clortevic,kg,109,86.85,9466.65
2016-01-01,Arequipa,Bioseguridad,dt foam,lt,103,98.98,10194.94
2016-01-01,Arequipa,Bioseguridad,prophyl,lt,89,143.36,12759.04
2016-01-01,Arequipa,Bioseguridad,vulkan s,lt,94,108.95,10241.300000000001
2016-01-01,Arequipa,Accesorios,chupones,unidad,98,84.37,8268.26
2016-01-01,Arequipa,Accesorios,comederos,unidad,92,60.52,5567.84
2016-01-01,Arequipa,Accesorios,slats,unidad,101,44.03,4447.03
2016-01-01,Moquegua,Nutricion,phyta value,kg,103,31.5,3244.5
2016-01-01,Moquegua,Nutricion,ingaprot,kg,90,62.29,5606.1
2016-01-01,Moquegua,Nutricion,inmunoprot,kg,97,127.74,12390.779999999999
2016-01-01,Moquegua,Nutricion,fitamix,kg,96,90.55,8692.8
2016-01-01,Moquegua,Sanidad,norax s plus,kg,87,29.69,2583.03
2016-01-01,Moquegua,Sanidad,tiamuvic,kg,90,126.01,11340.9
2016-01-01,Moquegua,Sanidad,florfevic,kg,106,120.27,12748.619999999999
2016-01-01,Moquegua,Sanidad,clortevic,kg,82,35.06,2874.92
2016-01-01,Moquegua,Bioseguridad,dt foam,lt,113,63.02,7121.26
2016-01-01,Moquegua,Bioseguridad,prophyl,lt,80,62.27,4981.6
2016-01-01,Moquegua,Bioseguridad,vulkan s,lt,107,135.34,14481.380000000001
2016-01-01,Moquegua,Accesorios,chupones,unidad,99,112.72,11159.28
2016-01-01,Moquegua,Accesorios,comederos,unidad,108,120.23,12984.84
2016-01-01,Moquegua,Accesorios,slats,unidad,100,75.58,7558.0
2016-01-01,Tacna,Nutricion,phyta value,kg,94,137.98,12970.119999999999
2016-01-01,Tacna,Nutricion,ingaprot,kg,92,118.22,10876.24
2016-01-01,Tacna,Nutricion,inmunoprot,kg,91,57.67,5247.97
2016-01-01,Tacna,Nutricion,fitamix,kg,89,125.06,11130.34
2016-01-01,Tacna,Sanidad,norax s plus,kg,104,124.48,12945.92
2016-01-01,Tacna,Sanidad,tiamuvic,kg,90,90.11,8109.9
2016-01-01,Tacna,Sanidad,florfevic,kg,94,49.63,4665.22
2016-01-01,Tacna,Sanidad,clortevic,kg,98,131.89,12925.22
2016-01-01,Tacna,Bioseguridad,dt foam,lt,98,35.58,3486.8399999999997
2016-01-01,Tacna,Bioseguridad,prophyl,lt,95,62.02,5891.900000000001
2016-01-01,Tacna,Bioseguridad,vulkan s,lt,100,67.27,6727.0
2016-01-01,Tacna,Accesorios,chupones,unidad,92,59.11,5438.12
2016-01-01,Tacna,Accesorios,comederos,unidad,93,99.24,9229.32
2016-01-01,Tacna,Accesorios,slats,unidad,100,56.22,5622.0
2016-01-01,Cuzco,Nutricion,phyta value,kg,116,38.84,4505.4400000000005
2016-01-01,Cuzco,Nutricion,ingaprot,kg,92,119.01,10948.92
2016-01-01,Cuzco,Nutricion,inmunoprot,kg,92,67.81,6238.52
2016-01-01,Cuzco,Nutricion,fitamix,kg,104,89.65,9323.6
2016-01-01,Cuzco,Sanidad,norax s plus,kg,84,61.7,5182.8
2016-01-01,Cuzco,Sanidad,tiamuvic,kg,90,96.82,8713.8
2016-01-01,Cuzco,Sanidad,florfevic,kg,105,86.57,9089.849999999999
2016-01-01,Cuzco,Sanidad,clortevic,kg,91,42.67,3882.9700000000003
2016-01-01,Cuzco,Bioseguridad,dt foam,lt,106,141.77,15027.62
2016-01-01,Cuzco,Bioseguridad,prophyl,lt,87,34.75,3023.25
2016-01-01,Cuzco,Bioseguridad,vulkan s,lt,118,53.53,6316.54
2016-01-01,Cuzco,Accesorios,chupones,unidad,105,92.18,9678.900000000001
2016-01-01,Cuzco,Accesorios,comederos,unidad,101,32.1,3242.1000000000004
2016-01-01,Cuzco,Accesorios,slats,unidad,104,65.4,6801.6
2016-01-01,Puno,Nutricion,phyta value,kg,114,103.46,11794.439999999999
2016-01-01,Puno,Nutricion,ingaprot,kg,83,136.81,11355.23
2016-01-01,Puno,Nutricion,inmunoprot,kg,103,33.19,3418.5699999999997
2016-01-01,Puno,Nutricion,fitamix,kg,105,40.91,4295.549999999999
2016-01-01,Puno,Sanidad,norax s plus,kg,101,104.75,10579.75
2016-01-01,Puno,Sanidad,tiamuvic,kg,91,50.84,4626.4400000000005
2016-01-01,Puno,Sanidad,florfevic,kg,95,104.45,9922.75
2016-01-01,Puno,Sanidad,clortevic,kg,112,93.88,10514.56
2016-01-01,Puno,Bioseguridad,dt foam,lt,84,54.48,4576.32
2016-01-01,Puno,Bioseguridad,prophyl,lt,97,102.05,9898.85
